city_development_index,training_hours,company_size,experience,education_level,company_type_Early Stage Startup,company_type_Funded Startup,company_type_NGO,company_type_Other,company_type_Public Sector,company_type_Pvt Ltd,target
0.698,43.0,2.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.624,204.0,4.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.8156865053107117,14.317001271694828,3.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.903873553466546,18.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.624,111.0,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.579,64.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.91,9.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.624,84.32700525310494,1.3459894937901076,0.3270052531049462,2.0,0.3270052531049462,0.0,0.0,0.0,0.0,0.6729947468950538,1.0
0.887,154.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.92,25.0,2.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.92,15.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.8736594497616956,68.0,2.0,20.530332261098266,2.0,0.0,0.15655591296724447,0.0,0.0,0.0,0.8434440870327555,1.0
0.897,216.0,3.0,18.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.91,24.0,7.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.55,37.70501631658394,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.92,110.0,2.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.624,28.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.9351007818537018,13.92910512461276,2.9291051246127617,15.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.624,184.0,6.933939095631537,11.867878191263074,2.9339390956315365,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.762,122.0,6.0,10.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.8363307086148684,38.78710103973249,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.21289896026751065,0.7871010397324893,1.0
0.624,99.72067825640534,2.0,2.2793217435946618,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.9209638787367296,102.0,2.0,21.0,2.1606464561215857,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.91,150.0,2.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.7759999999999999,61.0,1.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.939,66.0,3.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.92,56.0,2.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.893,26.0,3.0,9.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.887,45.0,2.0,21.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.926,250.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.6890000000000001,54.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.7759999999999999,13.0,2.0,17.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.7059817759007039,9.0,0.7230345408760004,14.0,2.723034540876,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.92,52.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.8776691462829562,208.11654268585218,3.5874070143891426,21.0,3.058271342926095,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.6321759386950552,83.92890488091257,2.0,6.0710951190874365,1.0710951190874367,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.92,35.0,2.0,4.0,1.8888986162199326,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.92,12.0,7.0,9.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0.762,51.0,7.0,12.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.92,102.0,3.0,15.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.802,23.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.91,28.0,3.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.698,5.0,2.0,21.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.92,53.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.624,149.0,2.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.624,21.0,7.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.624,33.64739921155184,2.3526007884481572,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.7642329300437027,44.70165346827161,2.0,21.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.92,74.0,3.0,21.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.767,98.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.55,7.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.512,51.0,2.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.92,24.0,2.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.907249116449965,31.080701794620474,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0.7749593023212471,65.53980543405324,2.0,14.539805434053232,2.4601945659467677,0.0,0.0,0.4601945659467678,0.0,0.0,0.5398054340532322,1.0
0.91,55.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0.7648690458376657,72.30121191818769,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
